rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
1,actuwien,1,0.11598106162528715,0.11598106162528715,False,239.4867906133334,154545,14397.206159830093,10.734374314316538,124411,0.8050147206315312
1,actuwien,2,-0.21059880504228318,-0.21059880504228318,False,239.62151684761048,154710,14396.954143285751,10.746022975432721,129383,0.8362937108137806
1,actuwien,3,-0.20058601552844998,-0.20058601552844998,False,239.83738658030828,154980,14397.247940778732,10.764557270770826,133454,0.8611046586656342
1,actuwien,4,-0.12879101367244056,-0.12879101367244056,False,239.5548075556755,172350,14397.165441513062,11.971106444539613,135559,0.7865332172903975
1,actuwien,5,-0.4403254571359243,-0.4403254571359243,False,239.7295945127805,183510,14397.980533123016,12.74553744379841,151329,0.8246362596043812
1,actuwien,6,-0.3727985001659498,-0.3727985001659498,False,239.67039654652277,167805,14398.313036203384,11.654490326614514,132739,0.7910312565179822
1,actuwien,7,0.1486360396067641,0.1486360396067641,False,239.881564728419,172155,14397.936706066132,11.956921572482518,141598,0.8225029769684297
1,actuwien,8,-0.3080009895818471,-0.3080009895818471,False,239.7582834482193,157560,14397.872557401657,10.943283417174127,131302,0.8333460269103834
1,actuwien,9,-0.35875411830774495,-0.35875411830774495,False,239.44642066160839,159195,14398.172011852264,11.056611899687969,130761,0.8213888627155376
1,actuwien,10,-0.3523758330912326,-0.3523758330912326,False,239.44798134565355,157860,14397.14264178276,10.96467569487473,123333,0.7812808817939947
