rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
19,dvolovenko,1,0.7194141733769146,0.7194141733769146,False,137.3965496102969,55611,14400.035383462906,3.8618655106822883,33831,0.6083508658358958
19,dvolovenko,2,0.4151566414820976,0.4151566414820976,False,238.8559607466062,55098,14400.016726016998,3.8262455557049857,46208,0.8386511307125486
19,dvolovenko,3,0.9812259987939002,0.9812259987939002,False,194.99598442316056,55884,14400.172858715057,3.8807867480687026,54964,0.983537327320879
19,dvolovenko,4,0.6406318524350724,0.6406318524350724,False,175.79874356985093,58028,14400.021705627441,4.0297161480890695,50124,0.8637898945336734
19,dvolovenko,5,0.4137288434735906,0.4137288434735906,False,233.80245070854824,53942,14400.18237376213,3.7459247806670204,46746,0.8665974565273813
19,dvolovenko,6,0.42313417677301646,0.42313417677301646,False,207.31075778802236,58086,14400.212008237839,4.033690612802861,53373,0.918861687842165
19,dvolovenko,7,0.5736914329651661,0.5736914329651661,False,239.56742043892544,54587,14400.156700611115,3.790722638294862,53001,0.9709454632055251
19,dvolovenko,8,0.6864806841153381,0.6864806841153381,False,30.796957019964854,55123,14400.141317605972,3.827948544685825,51164,0.9281788001378735
19,dvolovenko,9,0.23990300635985962,0.23990300635985962,False,239.33546451330184,58231,14400.091557264328,4.0437937334241845,55355,0.9506104995620889
19,dvolovenko,10,0.43438410069083305,0.43438410069083305,False,193.84919426838556,57796,14400.137894392014,4.013572677141381,50477,0.8733649387500865
