rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
17,aekovalenko,1,0.5226867510891089,0.5226867510891089,False,143.54984395106632,145560,14400.56820845604,10.107934485149475,111942,0.7690436933223413
17,aekovalenko,2,0.39896411070297105,0.39896411070297105,False,204.51437579790752,143050,14400.746196746826,9.933513030895263,109845,0.7678783642083188
17,aekovalenko,3,0.4014188474688588,0.4014188474688588,False,200.82821474870045,141210,14400.187497615814,9.80612231773924,100153,0.7092486367820976
17,aekovalenko,4,0.45940396523031396,0.45940396523031396,False,222.00950946410498,154400,14400.304136276245,10.721995767509261,116750,0.7561528497409327
17,aekovalenko,5,0.4541303228021523,0.4541303228021523,False,188.93172470331191,139210,14400.191931962967,9.667232260356654,90668,0.6513037856475827
17,aekovalenko,6,0.43791203542047014,0.43791203542047014,False,232.01373442808787,150620,14400.100438594818,10.459649267189258,100837,0.6694794847961758
17,aekovalenko,7,0.4410052056296131,0.4410052056296131,False,205.92496375242868,142300,14400.164433956146,9.881831603564962,100068,0.7032185523541813
17,aekovalenko,8,0.6134371127457338,0.6134371127457338,False,185.19355172316233,150890,14400.003282546997,10.478469833606272,90348,0.5987673139373053
17,aekovalenko,9,0.5205574127394975,0.5205574127394975,False,230.75760276317595,149940,14400.814486980438,10.411911085693001,98285,0.6554955315459517
17,aekovalenko,10,0.4710525784305035,0.4710525784305035,False,228.5615248878797,149320,14400.621060848236,10.368997237623628,111897,0.7493771765336191
