rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
30,luziyi,1,0.3837134727452903,0.3837134727452903,False,222.06116919517518,55360,14400.10188794136,3.8444172430723174,39382,0.7113800578034682
30,luziyi,2,1.3471106596564526,1.3471106596564526,False,237.36431053479512,55045,14400.231652498245,3.8225079518391247,30960,0.5624489054410028
30,luziyi,3,0.5648688184455185,0.5648688184455185,False,239.99201869169872,55083,14400.044684171677,3.825196463490592,45561,0.8271335983878874
30,luziyi,4,0.4881752090452646,0.4881752090452646,False,110.32961866458257,57544,14400.009790420532,3.9961083941957174,43119,0.7493222577505908
30,luziyi,5,0.8203618085909038,0.8203618085909038,False,239.99166434208553,53504,14400.0396296978,3.7155453301431534,25917,0.48439369019138756
30,luziyi,6,0.5259351049563078,0.5259351049563078,False,233.50680319865543,57848,14400.21687412262,4.017161720942802,27845,0.4813476697552206
30,luziyi,7,0.36172709362142086,0.36172709362142086,False,222.29647917350133,54694,14400.259277820587,3.7981260576495455,48131,0.8800051193915237
30,luziyi,8,1.7770521220470137,1.7770521220470137,False,205.3225659608841,54575,14400.240551233292,3.789867246024997,31208,0.5718369216674302
30,luziyi,9,0.7929589602676128,0.7929589602676128,False,12.103275271256765,57557,14400.13816523552,3.996975538675926,2159,0.037510641624824086
30,luziyi,10,1.7829389972439866,1.7829389972439866,False,160.86950584252676,57721,14400.00483250618,4.008401432595507,36720,0.6361636146289912
