rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
32,matin,1,0.5974087811642173,0.5974087811642173,False,193.171115954717,124860,14400.342231273651,8.670627266679665,117222,0.9388274867851994
32,matin,2,0.49274738563875903,0.49274738563875903,False,218.64559268554052,125672,14400.29638338089,8.72704260066728,109774,0.8734960850467884
32,matin,3,0.4190951395601968,0.4190951395601968,False,208.5439776778221,124020,14400.385430335999,8.612269484033268,110545,0.8913481696500565
32,matin,4,0.5279122253362206,0.5279122253362206,False,224.69189417759577,131684,14400.31571316719,9.144521732922309,103108,0.7829956562680356
32,matin,5,0.4659175702435283,0.4659175702435283,False,202.16663227478662,139812,14400.182814836502,9.709043405751194,133767,0.9567633679512488
32,matin,6,0.4217323621545283,0.4217323621545283,False,173.50913796424865,137972,14400.26391839981,9.581213287605618,121021,0.8771417389035456
32,matin,7,0.4900991390916564,0.4900991390916564,False,170.23486375808716,137868,14400.023613929749,9.574150966435534,128093,0.9290988481736153
32,matin,8,0.4864866116681856,0.4864866116681856,False,233.48490298191706,126316,14400.421409606934,8.771687744896894,113518,0.8986826688622186
32,matin,9,0.4205026991635667,0.4205026991635667,False,235.92263489166896,127960,14400.197368621826,8.885989318370463,119062,0.9304626445764301
32,matin,10,0.19271536842056097,0.19271536842056097,False,138.27850031852722,126696,14400.146035671234,8.798244107119176,112068,0.8845425269937488
