rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
24,nya-a-cat,1,0.6496624285194406,0.6496624285194406,False,238.04364441633226,140445,14400.111481904984,9.753049493851599,98663,0.7025027590871872
24,nya-a-cat,2,0.7491899367087004,0.7491899367087004,False,236.24159075021743,141272,14400.035432338715,9.810531415967215,95866,0.6785916529814825
24,nya-a-cat,3,0.14471614872103977,0.14471614872103977,False,232.5225114107132,138232,14400.136002779007,9.5993537820284,99571,0.720318016088894
24,nya-a-cat,4,0.4222797621174772,0.4222797621174772,False,234.33227657079698,150072,14400.211145162582,10.421513857483486,108467,0.7227664054587132
24,nya-a-cat,5,0.414730853244415,0.414730853244415,False,238.67149688402813,135052,14400.089198827744,9.378553016948956,93373,0.6913855403844446
24,nya-a-cat,6,0.8171521508588402,0.8171521508588402,False,239.88258825540544,145259,14400.094633579254,10.087364263653784,31685,0.21812762031956712
24,nya-a-cat,7,0.4141315799172278,0.4141315799172278,False,230.04224225680034,138996,14400.019764661789,9.652486751518328,101727,0.7318699818699819
24,nya-a-cat,8,0.42466079192628337,0.42466079192628337,False,238.61898487408956,148634,14400.258016347885,10.321620614801716,105211,0.7078528465896093
24,nya-a-cat,9,0.4056391429310988,0.4056391429310988,False,221.73882323900858,146470,14400.081465244293,10.171470234631425,106357,0.7261350447190551
24,nya-a-cat,10,1.7346571928650065,1.7346571928650065,False,236.9534878452619,143227,14400.1849629879,9.946191689074094,34287,0.23938922130603868
