rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
36,thelight,1,0.4791054470962922,0.4791054470962922,False,205.31274474461873,55711,14400.185518503189,3.8687696021982094,50781,0.9115076017303585
36,thelight,2,1.6439524367801734,1.6439524367801734,False,228.3830077290535,54931,14400.071608304977,3.814633808370755,49916,0.9087036463927473
36,thelight,3,0.4658176907540876,0.4658176907540876,False,148.8850008924802,55815,14400.099014759064,3.8760150150907746,53315,0.9552091731613366
36,thelight,4,0.35992056458371224,0.35992056458371224,False,65.0091535170873,58171,14400.129360198975,4.039616488500505,54931,0.9443021436798404
36,thelight,5,0.7584081777770549,0.7584081777770549,False,200.38668836752575,54130,14400.047506809235,3.759015376470389,32171,0.594328468501755
36,thelight,6,0.4314951029634302,0.4314951029634302,False,238.8735097606977,58288,14400.014477729797,4.0477737081545815,45107,0.7738642602250893
36,thelight,7,0.9244218336539046,0.9244218336539046,False,104.69945222139359,55168,14400.006366491318,3.831109417310775,45593,0.8264392401392111
36,thelight,8,1.2337643370797846,1.2337643370797846,False,239.01353050072987,55260,14400.09123826027,3.8374756857912917,10535,0.19064422728917843
36,thelight,9,3.7421365100274206,3.7421365100274206,False,10.326199265321096,58682,14400.122323513031,4.075104272147879,40169,0.6845199550117583
36,thelight,10,1.800547706432533,1.800547706432533,False,229.65506480932237,58013,14400.130782842636,4.028643966839587,35279,0.6081223174116146
