rank,participant_id,elapsed_minutes,runs_with_value,mean_best_feasible_loss,std_best_feasible_loss,sem_best_feasible_loss,median_best_feasible_loss,minimum_best_feasible_loss,maximum_best_feasible_loss,exact_run_count,sampled_upper_bound_run_count,missing_run_count
42,kratos_,15,8,5.714504182338715,0.29898535580724656,0.10570728628338837,5.718079566955566,5.325703144073486,6.275241851806641,0,8,2
42,kratos_,30,9,5.642431047227648,0.27934507048763857,0.09311502349587952,5.531710147857666,5.314104080200195,6.233512878417969,0,9,1
42,kratos_,60,10,5.394712829589844,0.39044304111305833,0.12346893064800284,5.47799825668335,4.779659748077393,5.860050678253174,0,10,0
42,kratos_,120,10,5.066976610001798,0.423702845957624,0.13398660443215582,4.985271453857422,4.588817934414194,5.7643938064575195,3,7,0
42,kratos_,180,10,4.860319072039752,0.39338472363058574,0.12439917233885131,4.711598404892523,4.565561680422129,5.7643938064575195,7,3,0
42,kratos_,240,10,4.69383937365864,0.13089914521848223,0.04139394426595429,4.6930899051349035,4.532265891509029,4.972167695008347,10,0,0
