rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
28,carlometta,1,0.6753324613914237,0.6753324613914237,False,232.13849160671234,55948,14400.002528190613,3.885277095644369,20366,0.36401658683062843
28,carlometta,2,0.4648070851131733,0.4648070851131733,False,151.5730044921239,55285,14400.053012132645,3.8392219774066167,44106,0.7977932531428055
28,carlometta,3,0.4737117110465267,0.4737117110465267,False,175.8381659269333,55629,14400.067667722702,3.8631068466914673,53691,0.9651620557622823
28,carlometta,4,1.1560912977069213,1.1560912977069213,False,239.80473092794418,57995,14400.23142361641,4.0273658314190754,53317,0.9193378739546513
28,carlometta,5,0.46035068822359665,0.46035068822359665,False,168.13130801121395,54132,14400.021212339401,3.7591611291248794,38685,0.7146419862558191
28,carlometta,6,0.4504452807690318,0.4504452807690318,False,153.21285694440206,58135,14400.126030683517,4.03711744439785,43745,0.7524726928700438
28,carlometta,7,0.8950873889429712,0.8950873889429712,False,149.16570372978848,54971,14400.212844371796,3.8173741314861855,34218,0.6224736679340016
28,carlometta,8,0.4746036558108937,0.4746036558108937,False,164.27679067055385,54875,14400.024555444717,3.810757390635942,50516,0.9205649202733486
28,carlometta,9,1.410814592277052,1.410814592277052,False,222.02630881865818,58681,14400.185511827469,4.0750169469555,40322,0.687138937645916
28,carlometta,10,1.0226424471860023,1.0226424471860023,False,230.71588602860768,57983,14400.02175617218,4.026591138665965,40097,0.6915302761154132
