rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
11,anaygarodia,1,0.4251051333918405,0.4251051333918405,False,224.48128699064256,129280,14400.163774490356,8.97767567262098,101918,0.7883508663366336
11,anaygarodia,2,0.25503730879801856,0.25503730879801856,False,223.215831331412,130864,14400.25575041771,9.087616377660794,100253,0.766085401638342
11,anaygarodia,3,0.4103292486676967,0.4103292486676967,False,236.83610755205154,130616,14400.164426088333,9.070451984795884,106137,0.8125880443437251
11,anaygarodia,4,0.16134193320066634,0.16134193320066634,False,200.29319352706273,144896,14400.61892747879,10.061789755682945,119406,0.8240807199646644
11,anaygarodia,5,0.4132036411776203,0.4132036411776203,False,234.8204919020335,153928,14400.6424908638,10.68896753027905,126085,0.8191167298996933
11,anaygarodia,6,0.4098697693128083,0.4098697693128083,False,231.3159953991572,143936,14400.245802402496,9.995384938220022,112139,0.7790893174744331
11,anaygarodia,7,0.26537931980318524,0.26537931980318524,False,209.71569132010143,148896,14400.12137746811,10.339912844969334,132075,0.8870285299806576
11,anaygarodia,8,-0.2397655122365457,-0.2397655122365457,False,236.09685660203297,132240,14400.637160778046,9.18292701382494,106945,0.8087189957652753
11,anaygarodia,9,0.02947690196833779,0.02947690196833779,False,224.55826516151427,134760,14400.559988737106,9.357969419619641,111334,0.8261650341347581
11,anaygarodia,10,-0.10881612357159391,-0.10881612357159391,False,223.36326106786728,134104,14400.085235357285,9.31272265463592,117095,0.8731656028157251
