rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
38,boundedaccord,1,0.3157257238668038,0.3157257238668038,False,212.83535545667013,53230,14400.214566707611,3.696472698612728,47872,0.8993424760473417
38,boundedaccord,2,0.4282616916717159,0.4282616916717159,False,237.39533578157426,53448,14400.046559333801,3.711654665821629,50109,0.9375280646609789
38,boundedaccord,3,2.94769695765116,2.94769695765116,False,239.17559596300126,53442,14400.185588121414,3.7112021697889666,33657,0.6297855619175929
38,boundedaccord,4,0.7305938811421343,0.7305938811421343,False,237.9921985944112,54498,14400.246905088425,3.7845184432735497,29690,0.5447906345186979
38,boundedaccord,5,0.20275542607427194,0.20275542607427194,False,226.83909037510554,58525,14400.00781583786,4.064233905181026,54973,0.9393079880392995
38,boundedaccord,6,0.40486767099261267,0.40486767099261267,False,229.97268240451814,58154,14400.242479085922,4.0384042202386174,47592,0.8183787873577054
38,boundedaccord,7,-0.4473992939164596,-0.4473992939164596,False,232.98719235261282,57656,14400.136732816696,4.00385087098561,49674,0.8615582072984598
38,boundedaccord,8,0.4134565864916155,0.4134565864916155,False,231.65216114123663,53478,14400.184056520462,3.7137025325579045,48610,0.9089719136841318
38,boundedaccord,9,0.41292077505779234,0.41292077505779234,False,226.158080804348,54533,14400.028028964996,3.7870065176476997,47686,0.8744429978178351
38,boundedaccord,10,0.31479005256321574,0.31479005256321574,False,209.80883615016938,54100,14400.045092344284,3.7569326799373712,50267,0.9291497227356746
