rank,participant_id,mean_feasible_loss,score_std,score_sem,score_median,minimum_run_score,maximum_run_score,mean_time_to_best_minutes,mean_evaluation_count,mean_evaluations_per_second,mean_feasible_fraction,failed_runs,fallback_runs
1,actuwien,-0.2107613631293821,0.20361116898490572,0.06438750510417361,-0.25929989731206515,-0.4403254571359243,0.1486360396067641,239.64347428401317,163467.0,11.353758135969196,0.8163132571912053,0,0
2,danilolapegna,-0.11397960342498197,0.25725704104179364,0.08135181938074838,-0.15387036646932434,-0.4099087288175211,0.2254751675186282,221.95890606681505,138794.2,10.417310290028542,0.8326874536434442,0,0
3,mhtaylor,-0.01719680650109174,0.13375874292333884,0.04229822845986797,-0.05190992749533581,-0.19670735399776415,0.19443353760366633,213.17622090538345,150246.4,10.433201453928046,0.7026952387377796,0,0
4,lodev,0.037055626964533316,0.17321768561587925,0.05477624175691645,0.0888716953338258,-0.32479931001308787,0.18582999377124473,109.97343847354253,151666.6,10.532015867715977,0.9210747577758788,0,0
5,ibarapascal,0.08830965538941919,0.29365339557966763,0.09286135726741708,0.16063721488953447,-0.3665683261825978,0.4164613363052819,219.73092224597931,150921.6,10.480032607141172,0.8440688530307142,0,0
6,gabrielekarra,0.12872645862517215,0.1457494589833998,0.04609002581248327,0.1769562833629863,-0.188363491533853,0.3076477455353338,90.54203820864362,138581.6,9.624837969576662,0.8267312438518383,0,0
7,giannischalk,0.1493147296734452,0.14631016661692714,0.04626733713482221,0.15392623336697417,-0.13566179762857636,0.31948627909805105,169.93156407554946,137767.0,9.566618073029456,0.8481111705650701,0,0
8,jagarwal,0.16102904402461168,0.35324538662923455,0.11170599946951702,0.35383545256691395,-0.40989181294176597,0.44556978934657865,81.19929142713548,138502.4,9.617945148177782,0.7551143931345615,0,0
9,gun-py,0.16787539901354806,0.4020441347408871,0.12713751856928332,0.2607521872346313,-0.3814806140168781,0.9182660176691504,226.11352917671206,144952.9,10.065747845731446,0.7993265849721306,0,0
10,s_boehler,0.17857579991714168,0.22506351527561386,0.07117133264750385,0.2177056141600866,-0.3594863493618155,0.40926478466860017,231.89857312401136,138310.4,9.604421670837935,0.8524712410104316,0,0
11,anaygarodia,0.2021161620512034,0.23828187860135178,0.07535134615240084,0.2602083143006019,-0.2397655122365457,0.4251051333918405,224.46969808538756,138352.0,9.60754181923095,0.8184389242353907,0,0
12,matevz,0.21595209712899247,0.2169625067601194,0.06860956882216565,0.27034044503206106,-0.2611124464973107,0.4247043365777688,225.5121102543672,138025.6,9.584790434164649,0.8450852559169453,0,0
13,seament,0.23545181471741222,0.21035308111405607,0.06651948491545664,0.2782563016180229,-0.20277575986982765,0.42053370253643657,200.98111684958138,84964.6,5.890850371310146,0.6117452558797468,0,0
14,bgkang,0.24462561041837882,0.10498205855639978,0.033198241849139165,0.19602403760968823,0.15047729694168807,0.41196881233700106,211.45574801842372,86128.7,5.98107677557436,0.7657918151132463,0,0
15,hcxyz,0.2470148214998543,0.2342928483408925,0.07408990402456225,0.3277021192252929,-0.31624011935355434,0.4292156969100162,233.57931836883228,112833.6,8.048879699756451,0.8009035694272575,0,0
16,chengwei_chu,0.26198691760814924,0.333460889694332,0.10544959220202582,0.41729075636303087,-0.42336395217821277,0.6523695313262374,235.23496117313704,152323.4,10.577696029314371,0.938065866601842,0,0
17,ksj03,0.27193825376969866,0.1874801906688757,0.05928644186762938,0.35559998374997476,-0.07081900007108534,0.448050763514841,238.66977578838663,126709.6,8.79919673176591,0.8350223043906944,0,0
18,exirifard,0.29783376556924684,0.16675878344886869,0.05273375755372139,0.353153223634142,-0.12547624279762476,0.42185714243925226,236.92452860593795,132021.2,9.168036700096625,0.7956444391093942,0,0
19,miscusi,0.3090222652793898,0.20741419904296246,0.06559012880352778,0.38259150161743594,-0.21603245389220455,0.5090441300169808,230.0472519648075,152609.6,10.59731555957718,0.75151968165234,0,0
20,damnit,0.32173848760093937,0.13327864255083868,0.042146407391608395,0.2469111710057743,0.194480392600655,0.47735004122524644,236.0092926239967,153880.6,10.68820421159137,0.8088276580252151,0,0
21,kevinknights29,0.32912695042820805,0.23574312629122993,0.07454852218090093,0.37458664645965056,-0.1955632269383996,0.6697044924949372,193.04343715031942,54946.9,3.8157222604277607,0.7446965982100932,0,0
22,cameronspirals,0.33851524015715156,0.1091311555179773,0.034510301512286075,0.38259959952806255,0.14647314065965644,0.43905254190987597,227.06424080371858,55023.6,3.821048309219555,0.8401611488057389,0,0
23,rishivg,0.34396510069874686,0.20318349805389904,0.06425226368107102,0.41313763161745315,-0.21964797013973011,0.4790583960620505,168.222945843935,55223.7,3.8349350520728636,0.8555985898484655,0,0
24,grzegorz,0.3573783402004502,0.11129905258257171,0.03519585075797722,0.36501744927142066,0.17445195812895262,0.5208383660264632,199.3515369530519,50325.1,3.8115416003483844,0.6716665049302665,0,0
25,loveisp,0.36240396041141776,0.14250968699723546,0.045065519954894585,0.3761704968773938,0.14453899510004906,0.6656921758759025,205.12163376053178,131464.0,9.12930737417219,0.7902458536053816,0,0
26,aioait,0.3837593600206549,0.12036126168191788,0.03806157289664092,0.42235423978128916,0.1464843263914809,0.5434319607169629,203.86901974002518,131116.4,9.105199184105878,0.9200151060821786,0,0
27,zkasuran,0.38423909494706754,0.12980629600865048,0.041048355001735926,0.4150874699675168,0.05043303089420269,0.5523355053369222,229.93848524133364,151077.7,10.49092895326896,0.8154073125486233,0,0
