rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
57,lokwenbin,1,3.0073564070350027,3.0073564070350027,False,41.26290408770243,53924,14400.052831888199,3.7447084833319493,28415,0.5269453304650991
57,lokwenbin,2,1.9953905422358935,1.9953905422358935,False,231.05377930402756,53529,14400.203308343887,3.7172391843234447,25584,0.4779465336546545
57,lokwenbin,3,2.9403584669788576,2.9403584669788576,False,72.40012659629186,53564,14400.243581533432,3.719659302755777,31465,0.5874281233664401
57,lokwenbin,4,4.021431966215075,4.021431966215075,False,213.142354007562,55160,14400.199308395386,3.8305025381031674,28663,0.5196337926033358
57,lokwenbin,5,2.386978660488036,2.386978660488036,False,151.20859168370563,58652,14400.154403448105,4.073011882841744,29844,0.5088317533928937
57,lokwenbin,6,3.0833844750548374,3.0833844750548374,False,105.95634319782258,58468,14400.102364063263,4.060248915029389,31529,0.5392522405418348
57,lokwenbin,7,3.057484545826282,3.057484545826282,False,231.1800171295802,58025,14400.209137439728,4.0294553673625675,34819,0.6000689358035329
57,lokwenbin,8,2.405879646759772,2.405879646759772,False,102.80212637186051,54330,14400.207740783691,3.772862237683471,29802,0.5485367200441745
57,lokwenbin,9,3.1589145970497623,3.1589145970497623,False,56.116685859362285,55306,14400.178664445877,3.8406467925672914,31740,0.5738979495895563
57,lokwenbin,10,3.3282419719091703,3.3282419719091703,False,39.992783733208974,54395,14400.041440725327,3.777419684790861,30745,0.5652173913043478
