rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
30,hamzahanif2210,1,0.4256537223190948,0.4256537223190948,False,238.7953513622284,69736,14401.430234909058,4.842296831807717,47617,0.682818056670873
30,hamzahanif2210,2,0.4283159464735738,0.4283159464735738,False,175.8990617632866,69904,14401.263718128204,4.854018464504984,44710,0.6395914396887159
30,hamzahanif2210,3,0.17321424457241705,0.17321424457241705,False,197.11724429130555,70728,14400.091111421585,4.911635589854105,27310,0.38612713493948647
30,hamzahanif2210,4,0.32086879263928614,0.32086879263928614,False,234.55796269575754,74360,14400.672474861145,5.163647748381765,46083,0.6197283485745024
30,hamzahanif2210,5,0.7521656934427678,0.7521656934427678,False,234.14347317616145,75608,14400.335839271545,5.250433104053545,45667,0.6039969315416358
30,hamzahanif2210,6,0.45087264540177124,0.45087264540177124,False,238.54574629068375,72576,14400.749406337738,5.039737721431321,51883,0.71487819664903
30,hamzahanif2210,7,0.6059293489561349,0.6059293489561349,False,231.26582164764403,73920,14401.50399017334,5.132797244679323,35722,0.4832521645021645
30,hamzahanif2210,8,0.18151687236833972,0.18151687236833972,False,200.12345332702,72464,14400.595610618591,5.032014088817764,50884,0.7021969529697505
30,hamzahanif2210,9,0.42416534409398055,0.42416534409398055,False,173.8878260374069,69000,14400.849492788315,4.7913840106831165,45161,0.6545072463768116
30,hamzahanif2210,10,0.4406016397151886,0.4406016397151886,False,169.12648353974024,71056,14400.459280729294,4.934287067849787,48674,0.6850090069804098
