rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
42,maxhe,1,0.5772485460020965,0.5772485460020965,False,238.82267270882923,108012,14345.17005443573,7.529502933051753,80086,0.7414546531866829
42,maxhe,2,0.5538201900362717,0.5538201900362717,False,239.09349925915402,108688,14346.287605524063,7.576036601841824,76046,0.6996724569409687
42,maxhe,3,1.507657451598331,1.507657451598331,False,237.8513446013133,109072,14343.575867414474,7.604240463341374,76470,0.7010965233973889
42,maxhe,4,0.5577084394012447,0.5577084394012447,False,238.79187600215275,112596,14342.922974586487,7.850282693388458,74391,0.6606895449216669
42,maxhe,5,1.0199547332496726,1.0199547332496726,False,237.5300449649493,120048,14339.874652862549,8.371621294195611,94272,0.7852858856457418
42,maxhe,6,0.4550796306477537,0.4550796306477537,False,237.63485970497132,118116,14341.109429121017,8.236182882765958,88961,0.7531663788140472
42,maxhe,7,0.47920171330846856,0.47920171330846856,False,238.88160603443782,118796,14339.935820579529,8.284276965139096,91093,0.7668019125223071
42,maxhe,8,0.49501822634126796,0.49501822634126796,False,239.00336809953055,109948,14344.40243601799,7.6648714012601,77192,0.7020773456543093
42,maxhe,9,0.7916022681487904,0.7916022681487904,False,239.04496726989746,111320,14345.837782144547,7.759742002558659,79588,0.7149478979518505
42,maxhe,10,0.7287077892629548,0.7287077892629548,False,239.01846334934234,110240,14341.737231731415,7.686655962158582,83601,0.7583544992743106
