rank,participant_id,elapsed_minutes,runs_with_value,mean_best_feasible_loss,std_best_feasible_loss,sem_best_feasible_loss,median_best_feasible_loss,minimum_best_feasible_loss,maximum_best_feasible_loss,exact_run_count,sampled_upper_bound_run_count,missing_run_count
1,jagarwal,15,10,0.32414055420151183,0.25938948882832763,0.08202615858043158,0.4104601591825485,-0.07622814923524857,0.7335315346717834,1,9,0
1,jagarwal,30,10,0.21547474783105525,0.25005661723864797,0.07907484544710516,0.23233608296468006,-0.1461791769022722,0.6598013043403625,5,5,0
1,jagarwal,60,10,0.12652850371045737,0.22917497357596261,0.07247148992089451,0.10000068394412201,-0.17870308458805084,0.4578489363193512,5,5,0
1,jagarwal,120,10,0.12069686154378204,0.22657885648054404,0.07165052561149218,0.08000993428696793,-0.17870308458805084,0.444509893655777,6,4,0
1,jagarwal,180,10,0.03844963903885317,0.2191832722136921,0.06931183652039631,0.059916472477745196,-0.2614739033502797,0.38347244544922093,9,1,0
1,jagarwal,240,10,0.01967436953382796,0.1985352125763108,0.06278234674868478,0.059916472477745196,-0.2614739033502797,0.38347244544922093,10,0,0
2,giannischalk,15,10,0.49074835479259493,0.060942631023230415,0.019271752063664594,0.5005417019128799,0.3731261193752289,0.5994904041290283,0,10,0
2,giannischalk,30,10,0.391996793448925,0.15705739009581837,0.04966590760643569,0.45702821016311646,0.050558075308799744,0.5415306091308594,0,10,0
2,giannischalk,60,10,0.3504922494292259,0.14122782637808579,0.044660160034955924,0.4290711432695389,0.050558075308799744,0.45495250821113586,0,10,0
2,giannischalk,120,10,0.20231339074671267,0.17284596491461476,0.05465869334997337,0.19236965477466583,-0.11997251957654953,0.42926180362701416,0,10,0
2,giannischalk,180,10,0.13545296192840342,0.18064176283156766,0.05712394110957011,0.1642773598432541,-0.2116421266200587,0.40231993794441223,3,7,0
2,giannischalk,240,10,0.07087095338847518,0.15234493997905385,0.04817570003354546,0.12395950246021109,-0.2116421266200587,0.2722177800577272,10,0,0
3,seament,15,10,0.4284629374742508,0.2564932706888504,0.08111029398828726,0.40853849053382874,0.1594155877828598,0.9987908005714417,0,10,0
3,seament,30,10,0.278447911888361,0.12630057682249962,0.03993974925521707,0.2794761210680008,0.1016993448138237,0.4697270691394806,0,10,0
3,seament,60,10,0.22098968038335443,0.1534652151233827,0.04852996213976076,0.1955835372209549,-0.01431285310536623,0.42031073570251465,0,10,0
3,seament,120,10,0.18596021490974754,0.16728211663277107,0.05289925003734932,0.18905650241591188,-0.08527667820453644,0.3796243369579315,1,9,0
3,seament,180,10,0.1744526635376963,0.17264931855822435,0.05459650831199668,0.18845908506132814,-0.10557770729064941,0.3593953549861908,1,9,0
3,seament,240,10,0.17141276882260076,0.17537962844493027,0.05545990810800338,0.1877080272180357,-0.11589343577451251,0.3592384196007179,10,0,0
4,bohanlyu,15,10,0.4037208236753941,0.13659245779494306,0.04319432778324406,0.4491947144269943,0.10987178236246109,0.5829771757125854,0,10,0
4,bohanlyu,30,10,0.3586951257660985,0.1411779857811334,0.04464439905432473,0.43922059237957,0.02468462474644184,0.4671251177787781,0,10,0
4,bohanlyu,60,10,0.3341728152707219,0.14653496647336675,0.04633842509122501,0.4263806641101837,0.02468462474644184,0.44477954506874084,0,10,0
4,bohanlyu,120,10,0.2535665735602379,0.1490031656932307,0.047118938216607086,0.21731772273778915,0.015742897987365723,0.4289689362049103,0,10,0
4,bohanlyu,180,10,0.20336607433855533,0.18530087821508404,0.058597282758914175,0.18223847448825836,-0.08023681491613388,0.427109956741333,0,10,0
4,bohanlyu,240,10,0.17975922514318146,0.19371485077201275,0.061258014503918726,0.1637137717584226,-0.12547446378990584,0.4177483991549748,10,0,0
5,rishivg,15,10,0.6761676758527756,0.1714517746607937,0.05421781168060509,0.655105471611023,0.363108366727829,0.929000198841095,0,10,0
5,rishivg,30,10,0.43472556471824647,0.1287056945582235,0.04070031426379251,0.4564513564109802,0.1075643002986908,0.5756554007530212,0,10,0
5,rishivg,60,10,0.34054794646799563,0.14311649690294617,0.04525741009577437,0.41175423562526703,0.06074381247162819,0.4583657681941986,0,10,0
5,rishivg,120,10,0.29767563975909217,0.13445374378256855,0.04251800702896196,0.37324471024467853,0.06074381247162819,0.4296588897705078,1,9,0
5,rishivg,180,10,0.27946106157758693,0.13111537340497137,0.04146232162231762,0.36429353058338165,0.04137172922492027,0.3992840051651001,1,9,0
5,rishivg,240,10,0.21520292622682727,0.1304403494825962,0.041248860315337,0.18721501078311337,-0.015279108129510933,0.3775388389377837,10,0,0
6,chengwei_chu,15,10,0.9608813256025315,0.6732863596126356,0.21291184138991312,0.7489047646522522,0.436029314994812,2.6373534202575684,0,10,0
6,chengwei_chu,30,10,0.673006558418274,0.5444010178014803,0.17215471767665494,0.5915668308734894,0.20591555535793304,2.097382068634033,0,10,0
6,chengwei_chu,60,10,0.40600851029157636,0.22173467818678297,0.07011866193146886,0.43354010581970215,0.15747451782226562,0.9311887621879578,0,10,0
6,chengwei_chu,120,10,0.30347997825592754,0.1578568583239416,0.04991872165821654,0.36413948237895966,-0.027384357526898384,0.4570114016532898,0,10,0
6,chengwei_chu,180,10,0.2827013373374939,0.1632560495116485,0.05162609582580288,0.3337143212556839,-0.06168985366821289,0.44413113594055176,0,10,0
6,chengwei_chu,240,10,0.2622609883790155,0.18371213837816636,0.05809487910950374,0.30915445956817056,-0.1544389855788297,0.43511169500625785,10,0,0
7,littlestronomer,15,10,2.5660977363586426,0.8655129009102077,0.2736992111135878,2.3038896322250366,1.5186035633087158,4.453176498413086,0,10,0
7,littlestronomer,30,10,0.5965823948383331,0.18653068348295485,0.0589861813314087,0.5939413607120514,0.2588803172111511,0.8873656392097473,0,10,0
7,littlestronomer,60,10,0.43770179599523545,0.1285966963459819,0.040665846002635515,0.448247566819191,0.20736654102802277,0.6853428483009338,0,10,0
7,littlestronomer,120,10,0.3858379364013672,0.11677917297446687,0.036928816987009554,0.4202302098274231,0.17296439409255981,0.5505454540252686,0,10,0
7,littlestronomer,180,10,0.36771315336227417,0.11444258848455732,0.03618992409365586,0.4152873307466507,0.16591066122055054,0.5110135674476624,0,10,0
7,littlestronomer,240,10,0.2925060060924565,0.15180332629519985,0.048004426748256154,0.32553487964629835,0.0027084166928728805,0.4472216396100236,10,0,0
8,jan_vandelden,15,10,0.6277932554483414,0.11831243559333054,0.03741367719968994,0.65834641456604,0.4604044556617737,0.813157320022583,0,10,0
8,jan_vandelden,30,10,0.5340760737657547,0.10235320869730229,0.032366926531003086,0.5010644495487213,0.43136313557624817,0.7240294218063354,0,10,0
8,jan_vandelden,60,10,0.467639422416687,0.06687056513216359,0.021146329424027548,0.4495637118816376,0.4188390076160431,0.6426340937614441,0,10,0
8,jan_vandelden,120,10,0.38714432487041994,0.11127803645051626,0.035189204873487014,0.4189604145363589,0.08483763784170151,0.4819771349430084,1,9,0
8,jan_vandelden,180,10,0.36578804650539404,0.14064339387493538,0.04447534625009704,0.4123526287153979,-0.015188388526439667,0.4819771349430084,4,6,0
8,jan_vandelden,240,10,0.33013045865750174,0.20199835761609966,0.06387748936800951,0.3920175792954722,-0.2291539580382926,0.47962155514001603,10,0,0
9,bamba,15,10,0.5509309560060501,0.24620159538531283,0.07785578049847891,0.5980872809886932,0.16792669892311096,0.9632124900817871,0,10,0
9,bamba,30,10,0.45758423358201983,0.19251638192264695,0.060879025377043004,0.48720675706863403,0.15761850774288177,0.6719892621040344,0,10,0
9,bamba,60,10,0.4163410431063899,0.19503795787987194,0.061676417708838034,0.44270845628582356,0.14588982313556428,0.6719892621040344,7,3,0
9,bamba,120,10,0.38892019509627507,0.16599114645317412,0.05249100942146102,0.44270845628582356,0.14588982313556428,0.6214542984962463,8,2,0
9,bamba,180,10,0.38892019509627507,0.16599114645317412,0.05249100942146102,0.44270845628582356,0.14588982313556428,0.6214542984962463,8,2,0
9,bamba,240,10,0.35111378589552594,0.14396434924646612,0.045525524548277824,0.43196701297193785,0.14588982313556428,0.49622202517457775,10,0,0
10,campi,15,10,3.9351087331771852,0.2650006492546303,0.08380056330680336,3.933637499809265,3.506351947784424,4.448609352111816,0,10,0
10,campi,30,10,3.247276505827904,1.1332119970150638,0.35835309823955325,3.5827025175094604,0.3160496652126312,4.101987838745117,0,10,0
10,campi,60,10,1.5103460982441903,1.2096460876404254,0.3825236799655398,1.2999260425567627,0.16886447370052338,3.4935388565063477,0,10,0
10,campi,120,10,0.5631234019994735,0.5001594938147704,0.15816431938115733,0.43893736600875854,-0.06907917559146881,1.5148098468780518,0,10,0
10,campi,180,10,0.43464459948485806,0.3557428396758263,0.11249576346717269,0.42368761861582244,-0.09322172403335571,1.0954129695892334,3,7,0
10,campi,240,10,0.3652111764391545,0.28884860173953514,0.09134194804518052,0.32282485476301376,-0.09385732030466276,0.7840607356064925,10,0,0
11,anasjn,15,10,1.005820203840922,0.9474257907681732,0.29960234128135554,0.6440554261207581,0.18788093950213447,3.077421188354492,3,7,0
11,anasjn,30,10,0.7085961439757974,0.5770363718990842,0.18247492279610866,0.4820735872582912,0.18788093950213447,2.084345579147339,5,5,0
11,anasjn,60,10,0.5336573586622898,0.3301225200834794,0.1043939070378474,0.4017134237391546,0.18788093950213447,1.2459520101547241,6,4,0
11,anasjn,120,10,0.5330384338616964,0.33044228791791336,0.1044950265057745,0.4017134237391546,0.18788093950213447,1.2459520101547241,7,3,0
11,anasjn,180,10,0.36879928556892494,0.10119926522727508,0.032002017565366664,0.3921831397635024,0.18788093950213447,0.5394643487128257,9,1,0
11,anasjn,240,10,0.3659909435974281,0.099819031279196,0.031565549267385015,0.3921831397635024,0.18788093950213447,0.5394643487128257,10,0,0
12,matin,15,10,1.667340725660324,0.46913850361658177,0.1483546209511539,1.7726255655288696,0.7768619656562805,2.2158713340759277,0,10,0
12,matin,30,10,0.6952739119529724,0.25927515450670857,0.08199000289332693,0.621228814125061,0.45652633905410767,1.244546890258789,0,10,0
12,matin,60,10,0.5367915153503418,0.19831512835473883,0.06271275000696153,0.5038522779941559,0.2817090153694153,0.9309828281402588,0,10,0
12,matin,120,10,0.4782318961563396,0.1541026462134774,0.04873153554937109,0.49812254309654236,0.22518959641456604,0.6817684769630432,1,9,0
12,matin,180,10,0.4429607617151272,0.12992852071578,0.04108700584782356,0.4533213105543675,0.21984262764453888,0.6404341459274292,2,8,0
12,matin,240,10,0.42949061279381323,0.12612160202348724,0.039883152454352075,0.4438038160106049,0.20503266352847463,0.6249232320208379,10,0,0
13,exirifard,15,10,3.2914430141448974,0.45828973888820235,0.1449239403170562,3.2838871479034424,2.508527994155884,4.023139953613281,0,10,0
13,exirifard,30,10,2.421205258369446,0.6336627087138129,0.20038174278474735,2.2849665880203247,1.393906831741333,3.3511571884155273,0,10,0
13,exirifard,60,10,1.3777247786521911,0.5313483815093939,0.16802711166137813,1.5743861198425293,0.6014612317085266,1.9446455240249634,0,10,0
13,exirifard,120,10,0.6787255555391312,0.3824347711557214,0.12093649332973441,0.566850870847702,0.2696227431297302,1.4555684328079224,0,10,0
13,exirifard,180,10,0.516795218215704,0.19965334924348282,0.06313593260904611,0.4957556873559952,0.2394714206457138,0.8926051259040833,1,9,0
13,exirifard,240,10,0.4356865667803834,0.18568712787113184,0.05871942562477094,0.4342723436510441,0.17367534498649653,0.741134925386832,10,0,0
14,alirezaafshan,15,10,3.2635524034500123,0.8147182170417134,0.2576365217083223,3.4888352155685425,1.405679702758789,4.337385654449463,0,10,0
14,alirezaafshan,30,10,2.0852676331996918,0.9907237012317243,0.3132943427804413,1.959911286830902,0.46482551097869873,3.468249797821045,0,10,0
14,alirezaafshan,60,10,1.130932566523552,0.8264416967626874,0.2613438115104296,0.8824990093708038,0.43426084518432617,2.5743680000305176,0,10,0
14,alirezaafshan,120,10,0.8300269728717167,0.6250908090175611,0.19767107009328122,0.5739895701408386,0.41398197412490845,2.446554660797119,1,9,0
14,alirezaafshan,180,10,0.6104038750943499,0.27902696288148077,0.08823607313047382,0.48920342326164246,0.3638841509819031,1.239696979522705,1,9,0
14,alirezaafshan,240,10,0.4442932589224721,0.16128179316623206,0.051001781152147284,0.43945203771646846,0.18553667179964997,0.7781541672950968,10,0,0
15,mindsculptor,15,10,4.44591634273529,0.7167717948944883,0.22666314344336316,4.53608775138855,3.1946070194244385,5.232588768005371,0,10,0
