rank,participant_id,run_number,score_loss,participant_best_feasible_loss,used_random_search_fallback,time_to_best_minutes,evaluation_count,objective_time_seconds,evaluations_per_second,feasible_evaluation_count,feasible_fraction
33,polarhippo,1,0.36386992983012734,0.36386992983012734,False,231.58672341505687,53648,14400.079370260239,3.725535021063601,36646,0.6830823143453624
33,polarhippo,2,0.44928627333360044,0.44928627333360044,False,239.4276634613673,53707,14400.045914173126,3.729640885876574,30031,0.5591636099577336
33,polarhippo,3,0.41345152826523496,0.41345152826523496,False,219.6241642991702,53916,14400.019630908966,3.7441615624100844,32811,0.6085577565101269
33,polarhippo,4,0.45185140034002885,0.45185140034002885,False,237.5550535917282,55274,14400.162245988846,3.8384289743260727,38585,0.698067807649166
33,polarhippo,5,0.42720951158694886,0.42720951158694886,False,224.77581737438837,58529,14400.060679912567,4.064496761575825,40224,0.6872490560235097
33,polarhippo,6,0.35257671847732186,0.35257671847732186,False,229.3877783894539,58852,14400.128044366837,4.086908103780523,39425,0.6699007680282744
33,polarhippo,7,0.8990843644580058,0.8990843644580058,False,220.5500101685524,58917,14400.04014492035,4.091446927027014,38130,0.6471816283924844
33,polarhippo,8,0.4153405552397852,0.4153405552397852,False,226.0908521135648,54290,14400.043088197708,3.7701276077775177,32121,0.5916559219009025
33,polarhippo,9,0.4163332040405044,0.4163332040405044,False,226.1193200469017,55009,14400.19097995758,3.8200187814566084,36226,0.6585467832536493
33,polarhippo,10,0.38973973553360153,0.38973973553360153,False,238.71171561479568,54653,14400.104383468628,3.7953197105113934,34983,0.640092950066785
